"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","HAVESOLAR","WINTER_NOPV_BINNED","SUMMER_NOPV_BINNED","PN1","PN2","PN3","E2","BB1","BB2","BB3","BTE8","BE13","BE10","Co3","VB1","VB2","VB3","VA1","VA2","VA3","VT1","VT2","VT3","VE1","VE2","VE4","VO1","VO2","VO3","CIJM1","CIJM2","CIJM3","CNS1","CNS2","CNS4","SQFT_BINNED","STANCE","PEOPLE_TOT_3PLUS","HAVE_KIDS","GENDER","AGE_BINNED","EDUC_BINNED","FINANCIAL","INCOME_BINNED","RETIRED"
"500",500,1,1,4,1,0,4,3,3,4,4,4,3,98,3,3,3,3,2,4,5,3,5,4,3,5,5,5,4,2,1,1,2,2,5,5,4,2,2,2,2,5,0,0,1,4,2,1,2,1
"501",501,1,1,3,1,0,NA,NA,5,4,5,5,5,4,5,4,5,5,5,4,4,3,5,5,5,5,5,5,4,3,4,3,3,4,3,3,3,3,3,3,1,97,0,0,1,1,3,2,1,0
"502",502,1,1,1,1,0,NA,NA,4,4,4,4,4,98,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,3,5,4,4,5,5,5,3,3,3,2,5,1,1,1,2,3,3,95,0
"503",503,1,1,1,1,0,6,9,4,4,5,4,4,4,4,4,3,4,4,4,4,5,5,3,3,5,5,3,4,4,3,3,3,4,4,3,4,3,3,3,3,97,0,0,0,4,1,1,3,1
"504",504,1,1,1,1,0,NA,NA,5,5,5,5,5,5,4,98,98,3,98,5,5,4,5,5,5,4,5,3,3,3,3,4,4,4,5,4,4,5,4,4,4,2,1,0,1,3,4,1,95,0
"505",505,1,1,3,1,0,3,7,5,4,4,5,4,3,4,3,2,3,1,5,4,5,5,4,5,5,5,5,4,4,4,4,4,5,5,5,4,3,4,4,3,3,NA,99,0,4,4,1,2,1
"506",506,1,1,2,1,0,9,9,2,3,4,2,2,2,2,2,2,2,1,3,3,3,3,2,3,5,5,4,3,2,3,3,4,2,4,4,4,4,3,4,4,4,1,0,1,2,3,1,5,0
"507",507,1,1,2,1,0,2,2,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,5,5,4,3,3,1,4,4,3,4,4,4,3,3,3,1,3,1,0,1,1,1,4,1,0
"508",508,1,1,2,1,0,NA,NA,2,2,5,2,4,2,4,4,2,4,4,3,4,1,4,3,5,5,4,3,1,1,1,1,2,3,4,5,4,2,2,3,2,3,0,0,0,2,4,2,4,0
"509",509,1,1,3,1,0,4,5,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,4,5,5,5,5,5,5,3,3,3,5,4,4,4,4,4,4,2,4,0,0,1,2,4,1,4,0
"510",510,1,1,1,1,0,NA,NA,3,4,4,5,4,98,4,98,98,98,98,5,5,4,5,5,5,4,5,2,1,3,1,3,4,5,2,4,3,2,2,3,1,2,0,0,1,4,2,1,3,1
"511",511,1,1,3,1,0,4,3,1,2,4,1,5,3,3,5,5,5,5,3,4,4,3,3,1,5,5,5,2,1,1,2,1,2,2,2,5,3,3,3,1,3,1,0,0,2,2,2,1,0
"512",512,1,1,2,2,0,7,7,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,4,4,4,1,3,0,0,0,1,3,3,3,0
"513",513,1,1,2,1,0,3,3,4,4,5,5,98,4,4,4,2,3,4,5,4,4,5,5,5,5,5,4,3,4,3,4,3,4,5,4,4,3,3,4,4,3,0,0,1,4,4,1,3,0
"514",514,1,1,3,1,0,5,7,2,2,4,2,4,3,4,3,4,4,3,4,3,2,4,4,2,5,4,4,1,2,3,2,2,4,5,5,5,2,3,5,2,5,0,0,1,1,3,3,2,0
"515",515,1,1,1,1,0,4,4,4,4,4,5,4,4,4,4,3,4,3,5,5,4,5,5,5,5,5,5,3,4,3,3,3,3,4,4,4,4,4,3,1,4,1,1,1,3,2,2,3,1
"516",516,1,1,4,1,0,5,5,3,3,2,3,4,98,3,4,3,4,4,3,2,2,5,4,4,4,5,4,4,3,3,3,4,4,3,3,3,2,2,4,2,97,0,0,0,NA,2,1,4,0
"517",517,1,1,3,1,0,2,6,4,4,4,4,4,4,3,2,3,3,3,4,4,3,5,4,5,5,5,5,3,3,3,3,3,4,4,4,4,3,2,3,4,4,0,0,0,4,4,1,4,1
"518",518,1,1,3,1,0,3,7,4,3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,5,4,4,4,5,4,3,3,4,3,3,3,3,4,3,4,2,3,0,0,0,4,2,2,1,1
"519",519,1,1,4,1,0,2,2,2,1,4,1,3,1,1,3,3,3,3,2,2,2,4,3,3,5,5,5,2,5,1,3,3,4,5,5,4,2,1,2,2,5,0,0,1,4,2,2,95,0
"520",520,1,1,4,1,0,5,5,3,5,4,5,3,3,5,5,5,4,5,5,5,5,4,3,4,5,5,4,3,1,2,4,3,3,5,5,4,3,4,5,4,3,1,1,0,1,1,2,2,0
"521",521,1,1,2,1,0,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,3,4,4,4,4,4,4,2,3,4,2,4,0,0,0,4,1,2,2,1
"522",522,1,1,2,1,0,2,5,3,4,4,4,2,3,3,98,98,4,2,5,5,5,5,4,5,4,5,3,2,2,3,4,5,4,5,5,4,3,3,3,2,3,0,0,1,4,4,1,95,1
"523",523,1,1,2,1,0,3,3,2,3,4,4,3,3,3,2,2,3,2,4,3,2,4,4,3,4,5,3,3,3,3,3,3,2,2,3,3,2,1,2,2,4,0,0,0,4,2,1,3,1
"524",524,1,1,4,1,0,4,10,4,4,4,4,4,3,4,3,3,3,4,3,4,3,3,3,4,4,4,3,3,3,3,4,3,4,4,4,4,3,3,4,3,3,1,1,1,2,3,2,4,1
"525",525,1,1,3,2,0,5,6,3,5,3,4,98,2,3,98,3,98,3,4,4,3,5,5,1,5,5,4,3,3,3,4,3,2,2,2,3,1,1,2,2,5,0,0,0,4,2,2,1,1
"526",526,1,1,2,1,0,4,5,3,3,4,4,3,3,3,3,3,3,3,5,4,5,5,4,5,5,5,5,4,3,3,3,5,5,4,5,4,3,3,5,1,97,0,0,1,3,4,2,95,1
"527",527,1,1,1,1,0,5,6,3,3,3,4,3,3,3,3,3,3,3,4,4,3,5,4,3,4,5,3,3,3,3,2,3,3,4,3,4,2,2,3,1,97,0,0,1,4,1,2,4,0
"528",528,1,1,2,1,0,4,5,3,3,3,3,4,3,4,4,4,4,4,3,3,3,3,4,4,4,5,4,3,3,2,3,3,3,3,3,3,3,3,3,1,97,1,1,0,1,1,2,2,0
"529",529,1,1,1,1,0,4,5,3,2,2,2,1,3,3,2,3,3,3,3,3,3,4,3,5,5,5,2,2,4,3,4,4,1,4,4,4,2,2,3,1,4,0,0,1,2,1,1,3,0
"530",530,1,1,3,1,0,4,5,3,3,4,2,3,98,3,98,98,3,98,3,2,2,3,3,3,5,5,3,4,4,3,3,3,2,5,4,4,4,4,5,2,4,0,0,1,3,3,2,95,1
"531",531,1,1,3,1,0,4,7,5,5,4,5,4,4,4,4,3,3,4,5,5,5,5,4,4,4,5,5,3,3,3,4,5,5,4,4,4,4,3,4,3,3,0,0,0,3,4,1,4,1
"532",532,1,1,4,1,0,2,2,3,4,4,4,4,4,3,3,3,3,1,4,5,3,5,5,4,5,5,4,3,3,2,2,3,3,3,2,4,1,1,1,1,97,1,1,1,2,1,3,1,0
"533",533,1,1,4,1,0,3,3,3,4,5,4,98,98,98,98,98,98,98,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,3,3,4,4,4,4,2,4,0,0,1,4,2,1,1,1
"534",534,1,1,4,2,0,2,1,4,4,4,5,4,98,4,4,4,4,4,5,5,5,5,4,5,5,5,5,4,3,4,4,4,5,4,4,4,3,3,3,1,97,0,0,1,3,2,2,95,0
"535",535,1,1,2,1,0,NA,NA,1,1,2,2,2,3,2,2,2,4,2,2,2,1,2,4,3,4,4,3,2,4,4,1,2,1,3,2,3,3,3,2,2,97,1,1,0,1,1,2,3,0
"536",536,1,1,2,1,0,7,5,1,1,4,1,1,1,1,1,2,1,1,3,3,3,1,1,1,4,5,5,3,3,2,3,3,3,3,3,3,3,3,3,4,97,1,0,1,2,3,3,95,0
"537",537,1,1,3,1,0,5,7,4,4,4,5,3,4,4,2,2,3,3,5,4,5,5,4,5,3,5,5,2,3,2,3,5,5,5,5,4,4,4,5,3,97,0,0,0,3,2,1,4,0
"538",538,1,1,3,1,0,4,8,3,4,4,3,4,3,4,4,4,3,3,4,4,4,4,4,3,4,5,4,2,4,3,4,4,3,3,2,3,2,2,3,3,4,0,0,1,3,4,1,4,0
"539",539,1,1,3,1,0,4,8,4,4,4,4,5,4,4,4,3,4,4,4,4,4,5,5,5,5,5,5,3,3,2,3,3,3,4,4,4,3,3,3,3,3,0,0,1,4,2,2,2,1
"540",540,1,1,1,1,0,7,9,3,2,3,3,3,3,3,3,3,3,3,4,4,3,4,3,1,5,5,3,3,3,2,2,2,4,4,4,4,3,4,4,3,4,1,0,1,2,1,1,5,0
"541",541,1,1,2,1,0,NA,NA,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,3,3,1,97,0,0,0,3,1,1,3,0
"542",542,1,1,3,1,0,4,6,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,5,5,5,3,3,3,3,4,4,3,2,2,3,4,4,4,1,97,0,0,1,2,1,1,5,0
"543",543,1,1,2,1,0,5,7,3,3,4,3,3,3,4,3,3,3,3,4,3,3,5,4,3,4,4,3,3,3,2,3,2,2,4,3,4,2,2,2,3,97,1,0,1,2,2,1,5,0
"544",544,1,1,2,1,0,NA,NA,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,3,4,3,2,4,3,4,4,4,5,5,5,5,4,5,1,1,0,0,1,1,1,2,2,0
"545",545,1,1,2,1,0,6,6,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,3,3,3,1,5,5,5,3,3,3,4,4,4,2,1,0,0,1,1,2,2,1,0
"546",546,1,1,1,2,0,3,4,3,3,4,3,4,3,3,3,3,3,3,3,2,2,4,3,5,5,5,4,2,2,4,2,2,3,4,5,4,2,2,3,3,4,0,0,0,4,2,3,95,1
"547",547,1,1,4,1,0,1,1,3,3,2,4,3,98,3,4,3,4,3,3,4,3,3,4,3,5,4,5,3,2,3,2,3,3,4,5,5,3,3,5,1,5,0,0,1,4,2,2,1,1
"548",548,1,1,3,1,0,3,8,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,5,4,3,3,3,1,4,3,3,3,3,3,3,3,3,2,97,1,1,1,1,1,2,1,0
"549",549,1,1,1,1,0,6,7,3,4,4,4,4,3,3,4,2,4,2,4,4,4,5,4,4,4,4,3,4,3,4,4,4,3,3,4,3,4,4,4,4,97,1,0,1,2,3,2,5,0
"550",550,1,1,1,1,0,7,7,1,1,3,1,1,1,1,3,1,3,3,1,5,5,5,1,1,5,5,5,1,1,1,5,5,5,1,1,1,1,1,1,4,3,0,0,1,4,1,3,1,1
"551",551,1,1,3,1,0,3,3,2,3,3,3,3,3,4,3,3,3,3,3,2,2,4,4,3,5,5,4,3,4,3,3,3,4,4,4,4,4,4,4,2,5,0,0,1,2,1,2,1,0
"552",552,1,1,2,1,0,3,3,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,3,3,3,2,3,1,1,1,1,2,2,2,0
"553",553,1,1,2,1,0,NA,NA,1,1,1,3,1,1,1,1,1,4,3,3,3,3,5,5,1,5,5,3,3,1,3,3,3,3,3,2,3,2,2,3,1,3,NA,0,0,3,2,3,1,0
"554",554,1,1,2,1,0,5,6,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,1,0,1,4,1,2,0
"555",555,1,1,3,1,0,4,5,2,2,3,4,3,3,2,2,2,2,2,2,4,1,3,5,5,5,5,5,3,2,2,4,5,4,4,3,3,2,2,3,2,97,0,0,1,2,3,1,3,0
"556",556,1,1,4,1,0,5,4,4,3,5,4,4,3,4,4,3,3,4,4,5,4,5,4,5,4,5,4,4,3,4,3,5,4,4,4,4,4,4,4,4,3,1,1,0,1,4,2,5,0
"557",557,1,1,3,1,0,5,8,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,2,5,4,5,2,2,2,4,4,3,2,2,0,0,1,3,4,2,2,0
"558",558,1,1,1,1,0,3,7,3,4,3,4,4,3,4,5,4,5,4,4,4,3,4,3,4,4,5,3,0,3,3,3,3,4,3,4,5,4,4,4,2,3,1,1,1,1,2,2,3,0
"559",559,1,1,3,1,0,3,6,4,4,3,5,3,4,4,3,3,3,4,5,5,5,5,5,5,5,5,4,4,4,1,4,5,5,4,5,4,5,4,5,2,2,0,0,1,2,3,2,1,0
"560",560,1,1,1,1,0,3,5,3,3,4,5,4,4,4,3,3,4,3,5,5,4,5,5,5,5,5,5,4,4,2,4,4,4,4,4,4,3,3,4,2,2,0,0,0,3,2,1,3,1
"561",561,1,1,1,1,0,6,6,2,3,4,3,1,2,2,98,1,3,3,4,4,4,5,4,5,5,5,5,1,1,4,3,3,3,5,5,4,3,3,5,3,4,0,0,1,4,4,2,95,1
"562",562,1,1,1,1,0,7,7,3,3,3,4,4,3,3,4,3,3,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,2,1,1,1,1,4,2,4,0
"563",563,1,1,3,1,0,4,6,3,4,5,5,4,4,4,4,4,5,4,4,5,3,5,5,4,5,5,4,0,0,2,3,3,3,4,4,4,2,3,3,2,3,0,0,1,2,1,3,1,0
"564",564,1,1,2,1,0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,5,1,3,1,1,1,1,1,4,4,4,3,3,4,3,5,1,1,0,1,2,1,5,0
"565",565,1,1,2,1,0,NA,5,3,4,4,3,2,98,3,98,98,98,98,3,3,2,2,4,4,5,5,4,1,1,3,2,3,3,4,3,4,2,2,3,2,3,1,1,1,2,2,2,3,0
"566",566,1,1,3,1,0,3,6,3,4,4,98,4,3,4,3,1,2,1,2,2,2,2,0,0,4,4,5,4,2,3,2,1,1,4,5,4,1,1,2,2,4,0,0,0,4,2,2,95,1
"567",567,1,1,4,1,0,3,5,2,3,3,1,3,2,3,3,3,4,2,2,2,1,2,2,1,4,4,4,3,2,2,2,1,2,3,3,3,3,2,3,1,5,0,0,0,4,2,1,2,1
"568",568,1,1,1,1,0,4,6,5,1,5,1,5,1,5,5,5,5,5,5,1,5,1,1,1,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,4,5,0,0,0,1,3,2,4,0
"569",569,1,1,1,2,0,6,8,5,5,5,5,5,98,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,1,3,1,1,1,1,2,4,2,0
"570",570,1,1,4,1,0,3,6,3,3,4,4,4,3,4,4,4,4,4,5,5,3,5,4,3,5,5,4,2,3,3,4,4,4,4,3,4,4,4,3,1,3,1,0,1,3,2,3,1,1
"571",571,1,1,4,1,0,NA,NA,3,3,3,3,3,3,3,3,3,3,1,3,3,3,4,3,3,5,5,4,5,3,3,3,4,3,3,3,3,3,3,3,3,97,0,0,95,3,3,2,95,0
"572",572,1,1,2,1,0,NA,NA,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,4,4,3,3,3,4,4,3,3,3,3,2,2,2,1,3,0,0,1,2,3,1,4,0
"573",573,1,1,4,1,0,5,6,5,5,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,2,4,3,4,4,4,5,4,4,3,4,2,1,1,1,1,2,1,4,0
"574",574,1,1,2,1,0,4,5,2,2,2,2,3,2,2,3,2,3,2,2,3,2,5,4,5,3,2,4,2,2,1,5,5,4,3,3,3,1,2,2,1,2,0,0,0,4,4,1,4,1
"575",575,1,1,3,1,0,5,5,1,1,1,3,2,98,3,3,98,3,98,4,3,1,2,2,2,5,4,3,3,2,1,2,2,2,4,3,3,1,1,2,1,5,0,0,0,4,1,2,1,1
"576",576,1,1,1,1,0,2,3,4,3,4,2,3,98,4,4,98,4,3,4,4,4,5,3,4,4,5,4,5,5,4,5,5,4,4,5,5,3,3,3,3,4,0,0,1,2,3,1,4,1
"577",577,1,1,2,1,0,4,3,5,5,4,5,4,4,4,3,3,3,3,5,5,4,5,4,4,4,5,4,3,2,3,4,4,4,4,3,3,2,2,4,3,2,0,0,1,3,4,1,4,1
"578",578,1,1,2,1,0,6,6,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,5,5,4,3,2,4,3,3,4,3,3,3,2,3,1,5,1,1,1,1,3,1,5,0
"579",579,1,1,3,1,0,3,10,2,3,5,98,98,5,4,2,1,2,2,4,4,4,4,4,5,5,5,5,3,5,3,3,4,4,5,3,5,4,4,5,2,3,1,1,1,1,2,3,1,0
"580",580,1,1,3,2,0,2,4,3,3,3,2,3,3,3,4,4,4,3,3,3,2,3,3,3,4,4,4,3,3,3,3,4,4,4,4,3,2,2,3,2,5,0,0,1,4,2,2,1,1
"581",581,1,1,4,1,0,6,3,4,4,4,4,4,98,4,98,98,98,3,4,4,4,4,4,4,3,4,2,2,2,4,4,4,3,2,2,4,1,1,3,3,4,0,0,1,3,2,1,4,0
"582",582,1,1,2,2,0,4,4,4,4,5,4,98,98,98,98,98,98,98,4,5,3,5,5,5,4,5,4,3,2,3,4,4,4,4,4,4,3,3,3,2,97,0,0,1,2,2,1,95,0
"583",583,1,1,1,1,0,NA,NA,4,4,4,5,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,3,3,3,3,4,3,4,3,3,3,4,3,3,4,4,0,0,1,4,3,2,95,1
"584",584,1,1,2,1,0,4,5,4,4,4,5,4,4,4,4,3,3,4,5,4,5,5,4,3,4,4,4,3,3,2,3,4,4,4,4,4,3,4,4,2,2,0,0,0,4,4,1,5,1
"585",585,1,1,3,1,0,3,4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,4,3,0,0,1,4,1,2,4,1
"586",586,1,1,3,1,0,5,5,4,4,4,4,3,98,3,4,3,3,3,4,4,4,5,5,4,5,5,5,5,4,3,4,5,4,5,5,3,3,4,3,2,4,0,0,1,4,1,2,2,1
"587",587,1,1,1,1,0,5,6,3,3,4,3,98,98,4,4,98,98,3,3,2,2,3,2,4,5,5,4,3,2,2,3,3,3,3,3,4,3,3,2,1,3,0,0,0,1,3,2,4,0
"588",588,1,1,4,1,0,4,6,5,5,5,5,5,5,5,98,98,98,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1,1,1,5,1,5,1,97,0,0,0,3,1,1,3,0
"589",589,1,1,2,1,0,9,8,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,97,0,0,1,1,1,1,3,0
"590",590,1,1,2,1,0,5,3,5,4,5,5,4,4,5,98,98,98,98,5,5,5,5,5,5,5,5,4,2,3,2,4,4,5,2,1,2,2,2,2,1,97,0,0,0,3,2,1,1,1
"591",591,1,1,2,1,0,3,4,3,4,3,4,3,3,3,3,3,3,2,4,4,4,5,4,5,4,4,4,3,3,4,4,4,3,3,3,3,2,2,2,1,3,0,0,0,4,2,1,2,1
"592",592,1,1,4,1,0,4,9,2,1,3,1,4,1,4,4,2,3,4,3,4,2,0,2,5,5,4,4,0,4,3,3,3,3,4,4,4,3,3,4,1,5,NA,0,0,4,2,2,3,1
"593",593,1,1,2,1,0,6,5,5,5,4,5,5,4,5,98,4,98,5,4,4,3,5,3,4,5,5,4,2,3,2,2,3,2,4,4,4,3,3,3,1,4,0,0,1,1,4,3,2,0
"594",594,1,1,2,1,0,5,4,3,3,4,4,4,98,3,3,98,4,98,3,4,4,5,4,4,5,5,4,3,3,4,3,4,3,4,4,4,3,3,3,2,3,1,0,1,2,2,2,3,0
"595",595,1,1,1,1,0,5,8,5,5,4,4,4,2,4,4,4,4,4,5,5,3,4,4,5,5,5,4,3,3,3,3,4,4,3,1,3,5,5,3,4,97,1,0,1,2,1,1,95,0
"596",596,1,1,4,1,0,NA,NA,4,4,4,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,3,2,3,2,3,4,4,4,4,4,2,2,3,4,3,0,0,1,2,1,1,4,1
"597",597,1,1,3,1,0,6,8,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,4,4,1,5,5,5,3,4,3,5,5,5,1,97,0,0,0,1,1,1,3,0
"598",598,1,1,3,1,0,4,7,2,4,2,4,98,98,2,2,1,2,1,5,5,3,5,4,5,5,5,5,5,5,4,3,5,3,4,4,2,2,2,4,2,3,0,0,1,3,4,1,4,1
"599",599,1,1,1,1,0,5,3,3,3,3,4,3,3,4,4,4,4,3,5,3,5,5,5,5,5,5,5,5,4,2,5,5,4,5,5,4,4,4,4,1,3,0,0,1,2,3,3,3,0
"600",600,1,1,1,2,0,5,7,4,4,4,3,3,3,3,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,3,4,4,3,3,3,3,2,2,2,2,97,0,0,0,2,1,2,5,0
"601",601,1,1,3,1,0,6,6,3,3,3,3,3,2,3,3,3,2,3,3,3,3,4,3,2,4,4,4,3,3,3,3,4,3,4,4,4,3,2,3,2,5,0,0,1,4,1,2,1,1
"602",602,1,1,3,1,0,2,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,5,5,4,3,3,2,3,3,4,4,4,4,3,3,4,1,5,0,0,1,3,4,2,3,0
"603",603,1,1,2,1,0,3,3,4,4,4,4,4,4,4,4,98,4,4,4,5,4,5,4,4,5,5,4,4,3,3,4,5,4,3,3,3,3,3,3,1,3,0,0,1,3,3,2,2,0
"604",604,1,1,3,1,0,3,7,4,4,4,4,3,3,3,4,3,3,3,5,5,5,4,3,5,4,5,4,4,4,3,3,4,4,4,3,4,3,3,4,1,4,0,0,0,2,2,2,2,0
"605",605,1,1,2,2,0,6,9,4,4,3,4,4,4,4,4,4,2,3,4,4,3,4,4,3,4,4,3,1,1,3,4,4,3,4,4,3,3,3,4,3,3,0,0,1,4,4,1,5,0
"606",606,1,1,3,1,0,4,5,3,1,3,1,3,1,4,4,3,4,3,4,3,2,3,4,5,5,5,5,3,4,2,4,4,4,5,5,5,4,3,4,3,4,0,0,1,2,3,1,4,0
"607",607,1,1,1,1,0,7,5,3,4,4,4,98,98,4,98,98,98,98,3,3,3,4,4,5,4,4,3,3,3,2,4,3,3,2,4,4,3,3,3,2,3,1,0,1,2,3,2,4,0
"608",608,1,1,3,1,0,NA,NA,4,4,4,4,3,3,3,3,98,98,98,5,5,4,5,4,5,5,5,5,3,3,3,4,4,3,4,4,4,3,3,3,1,3,0,0,1,4,4,1,95,1
"609",609,1,1,4,1,0,5,6,2,3,5,4,3,3,3,3,3,3,3,3,3,2,4,3,4,4,5,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,0,0,1,4,1,2,1,1
"610",610,1,1,2,1,0,5,6,4,3,3,3,4,4,3,4,3,4,2,5,4,4,5,5,5,5,5,5,3,3,4,5,5,5,5,5,4,3,3,5,1,3,0,0,0,3,4,1,4,0
"611",611,1,1,1,1,0,5,4,1,2,3,1,2,2,2,3,3,3,3,3,3,3,5,4,4,4,5,4,4,3,2,4,3,3,3,4,4,3,3,3,2,5,0,0,1,4,2,2,2,1
"612",612,1,1,1,1,0,5,5,5,3,4,4,4,98,5,3,3,2,4,5,5,4,4,5,5,3,5,5,2,4,4,4,4,5,4,4,4,4,3,3,1,2,1,1,95,1,3,3,95,0
"613",613,1,1,3,1,0,5,7,4,3,4,3,4,98,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,2,97,0,0,1,3,2,2,2,1
"614",614,1,1,4,1,0,2,2,3,1,2,3,2,1,1,1,1,2,2,4,4,4,4,4,2,5,5,4,3,3,2,3,3,4,3,3,3,2,1,2,2,5,0,0,1,3,3,1,95,1
"615",615,1,1,2,1,0,2,1,4,3,4,3,98,98,4,4,98,98,3,4,4,4,5,4,4,5,4,4,2,4,2,3,4,4,4,4,3,4,4,4,1,90,0,0,1,3,3,1,3,0
"616",616,1,1,4,1,0,6,8,4,4,4,4,4,3,4,4,4,3,3,5,5,4,5,3,4,4,4,4,3,3,3,4,4,3,4,4,4,3,3,4,3,3,0,0,1,3,3,2,1,1
"617",617,1,1,4,1,0,4,5,4,3,5,3,4,3,4,4,4,5,3,4,4,4,2,1,3,2,2,3,4,3,5,4,3,3,4,4,3,5,5,5,3,4,1,1,0,2,2,1,3,0
"618",618,1,1,3,1,0,4,7,3,4,4,5,3,3,3,2,2,3,4,4,5,3,5,4,5,5,5,5,4,2,3,3,4,4,3,3,3,2,3,2,2,2,0,0,0,4,4,1,2,1
"619",619,1,1,3,1,0,3,8,3,4,5,5,5,5,5,5,3,3,3,5,5,4,5,5,5,5,5,4,4,4,5,3,5,5,3,4,4,3,4,3,2,1,1,1,0,1,1,1,3,0
"620",620,1,1,2,1,0,8,7,5,4,4,5,5,5,4,4,98,3,4,4,3,3,4,4,5,3,5,2,1,1,3,3,4,4,3,1,3,1,1,1,3,2,0,0,1,4,4,1,5,1
"621",621,1,1,3,1,0,3,5,1,1,2,1,2,1,2,2,2,2,1,4,2,2,3,3,4,5,5,5,4,4,2,5,4,4,4,3,4,2,4,3,2,5,0,0,0,3,2,1,2,0
"622",622,1,1,2,1,0,4,1,4,4,4,4,3,4,4,4,98,98,2,5,4,4,5,5,4,5,5,4,4,3,2,5,5,5,4,4,5,3,4,3,1,4,0,0,1,3,3,3,1,1
"623",623,1,1,3,1,0,5,9,4,4,4,5,4,98,4,98,3,4,4,3,5,4,5,4,4,5,5,5,3,3,4,4,5,5,4,4,4,4,4,4,2,3,0,0,1,4,2,1,3,1
"624",624,1,1,1,1,0,4,5,4,4,4,5,4,4,4,4,4,4,3,5,5,5,4,4,5,4,5,4,5,5,3,4,5,4,4,4,4,4,4,4,2,3,1,0,1,2,1,3,2,0
"625",625,1,1,3,1,0,2,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,0,95,2,3,3,1,0
"626",626,1,1,3,1,0,2,4,3,3,3,4,3,3,3,4,3,3,3,4,4,4,3,3,4,4,4,4,3,3,3,4,3,3,4,4,3,3,3,3,2,4,0,0,0,4,3,1,5,0
"627",627,1,1,3,1,0,2,NA,3,1,98,1,3,1,2,2,3,3,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,0,0,1,1,1,1,5,0
"628",628,1,1,1,1,0,8,8,4,4,4,3,2,3,4,4,4,4,3,5,5,5,5,4,5,5,5,5,3,2,2,2,2,3,5,5,5,3,3,5,2,4,0,0,1,3,2,2,2,1
"629",629,1,1,1,2,0,2,6,4,4,4,4,4,3,4,3,3,4,4,4,5,5,5,5,5,5,5,4,3,3,3,4,5,3,3,3,4,3,3,3,3,97,1,0,1,2,1,1,3,0
"630",630,1,1,2,1,0,7,7,4,4,4,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,3,4,4,3,4,4,4,3,3,4,2,2,4,1,4,0,0,1,2,4,3,95,0
"631",631,1,1,3,1,0,5,7,4,5,5,4,5,4,5,5,5,4,4,5,4,4,4,5,4,5,5,2,5,4,3,5,5,5,3,3,4,3,2,4,3,5,0,0,1,1,2,2,4,0
