"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","HAVESOLAR","WINTER_NOPV_BINNED","SUMMER_NOPV_BINNED","PN1","PN2","PN3","E2","BB1","BB2","BB3","BTE8","BE13","BE10","Co3","VB1","VB2","VB3","VA1","VA2","VA3","VT1","VT2","VT3","VE1","VE2","VE4","VO1","VO2","VO3","CIJM1","CIJM2","CIJM3","CNS1","CNS2","CNS4","SQFT_BINNED","STANCE","PEOPLE_TOT_3PLUS","HAVE_KIDS","GENDER","AGE_BINNED","EDUC_BINNED","FINANCIAL","INCOME_BINNED","RETIRED"
"28",28,1,1,3,1,0,5,6,3,4,4,5,98,98,3,98,2,3,2,4,3,2,5,5,5,3,5,2,4,3,5,1,3,2,2,2,3,4,2,2,4,1,0,0,0,4,4,1,5,0
"29",29,1,1,4,1,0,2,4,4,3,5,3,4,98,4,4,98,4,4,4,4,4,3,3,4,4,4,3,2,2,2,4,3,5,4,4,4,2,3,4,2,4,0,0,1,2,1,1,4,0
"30",30,1,1,3,1,0,4,5,5,5,4,5,4,98,4,4,4,5,4,4,4,4,4,4,5,3,2,4,3,3,2,4,3,4,3,3,3,3,3,3,1,3,0,0,1,3,2,4,1,1
"31",31,1,1,3,1,0,3,5,4,3,5,3,4,3,5,3,4,4,3,4,4,4,4,5,4,5,5,4,1,4,3,5,4,4,4,4,5,3,3,4,2,4,1,1,1,1,3,1,5,0
"32",32,1,1,4,1,0,4,3,3,4,4,4,4,4,4,4,3,4,98,4,4,4,5,4,5,3,5,2,2,4,2,2,3,3,3,3,4,3,3,4,2,2,0,0,1,3,2,2,4,0
"33",33,1,1,2,1,0,5,7,1,2,5,4,4,3,4,98,2,2,3,3,2,2,4,5,5,5,5,4,2,2,2,4,3,3,3,3,4,1,1,2,2,2,0,0,0,3,4,2,95,0
"34",34,1,1,3,1,0,3,6,2,1,2,1,98,2,3,3,1,98,1,3,3,2,4,4,3,5,5,4,4,4,2,3,3,2,4,4,4,2,2,2,2,5,1,1,1,1,3,2,4,0
"35",35,1,1,3,1,0,2,2,4,4,4,4,3,3,4,3,3,3,4,4,5,4,5,5,5,5,5,4,2,2,2,3,3,4,5,5,3,3,2,4,1,90,0,0,0,3,4,1,3,1
"36",36,1,1,1,1,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,3,1,3,4,4,4,5,5,4,4,3,1,2,1,0,1,2,1,3,1,0
"37",37,1,1,2,1,0,11,11,3,3,3,4,3,3,4,3,4,3,3,4,4,3,5,5,4,5,4,4,3,4,3,3,3,3,3,3,4,2,2,3,4,3,0,0,1,4,2,1,95,0
"38",38,1,1,4,1,0,6,6,3,4,3,5,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,2,3,3,4,3,4,3,3,3,4,4,4,1,3,0,0,1,2,2,3,2,0
"39",39,1,1,2,1,0,5,5,4,2,2,2,2,1,1,2,1,5,1,2,2,2,3,4,2,5,5,5,2,1,1,2,2,3,4,4,4,2,2,3,3,3,1,0,1,2,4,2,3,0
